QuestionNumber,QuestionText,QuestionType,OptionA,OptionB,OptionC,OptionD,OptionE,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,LeftItems,RightItems,CorrectMatches,BlankAnswers,Explanation
55,"A music production company's application contains the following classes:\n\n\n\nA requirement states that users assigned the role ""Manager"" can edit objects related to any studio work.\nAt which position in the class hierarchy do you configure an Access of Role to Object (ARO) record to satisfy this requirement?",multiple-choice,UPlusMusic-Production-Work-Brand-Marketing,UPlusMusic-Production-Work-Studio-Editing,UPlusMusic-Production- Work-Studio-,UPlusMusic-Production- Work-,,C,,,,"To satisfy the requirement that users assigned the role ""Manager"" can edit objects related to\nany studio work, the Access of Role to Object (ARO) record should be configured at the ""UPlusMusic- Production-Work-Studio-"" level (C). This level is the common parent class for all studio-related work, such as Recording and Editing. By setting the ARO at this level, it ensures that managers have the necessary permissions to edit any object that falls under the studio work hierarchy, without having to set permissions at each individual subclass level."
56,"Which two requirements are supported by Attribute-based access control (ABAC)? (Choose Two)",multiple-choice,Managers can reschedule but not delete appointments.,Personal identifying information in the Work-Baking- class is restricted.,Agents assigned the ""Top Secret"" clearance level can delete reports.,Bakers with a rating of 4 or better can add recipes to the database.,,A,D,,,,,"Attribute-based access control (ABAC) supports various granular and dynamic access control requirements, such as allowing managers to reschedule but not delete appointments (A) and enabling bakers with a rating of 4 or better to add recipes to the database (D). ABAC uses attributes (such as user roles, data characteristics, and environmental conditions) to define access control policies, providing a flexible and context-aware mechanism to enforce security policies tailored to specific business requirements."
57,"Consider the following requirement: An auditing policy explicitly requires that employees cannot see the contents of complaints made against themselves.\nWhich security solution do you use to satisfy the requirement?",multiple-choice,Access of Role to Object,Access Control Policy,Access When,Access Deny,,,,B,,,,"To satisfy the requirement that employees cannot see complaints made against themselves, an Access Control Policy (B) is the most suitable security solution. Access Control Policies in Pega allow for the definition of conditions under which access to certain data or cases is granted or denied. By configuring a policy that checks the relationship between the complaint and the employee (such as matching IDs), the system can dynamically restrict access to sensitive\ninformation, ensuring compliance with auditing policies."
58,"How do you ensure that only a manager can run a specific flow action?",multiple-choice,Add a pre-processing activity to the flow action form to determine whether the user is a manager.,Add a privilege to the flow action form, then add the privilege to a role assigned to the access group for managers.,Add an Access When condition to the flow action to determine whether the user is a manager.,Add a validate rule to the flow action form to determine whether the user is a manager.,,B,,,,"To ensure that only a manager can run a specific flow action, the best approach is to add a privilege to the flow action form (B) and then assign this privilege to a role that is exclusive to managers. This role is then associated with the access group designated for managers.\nPrivileges provide a granular level of security that can be used to control access to specific actions within a Pega application, such as executing a flow action. By leveraging privileges, you can ensure that only users with the manager role, who possess the necessary privilege, can execute the flow action, thereby enforcing the desired level of access control."
59,"A hospital uses a case type to manage the treatment of patients visiting the Emergency Room (ER). Cases are created when the patient checks in at the registration desk, and are resolved when the patient is released from the hospital. Stakeholders identify the following security requirements for the case type.\nPatients access cases on a read-only basis. Patients can only access their own cases.\nDoctors and nurses can modify cases throughout the case life cycle. Only doctors are allowed to write prescriptions.\nWhat two steps, when performed together, allow you to ensure that patients can read, but not edit, cases?",multiple-choice,Configure an Access of Role to Object rule with the open case action set to 5.,Configure an Access Role to Object rule with the open case action set to 1.,Configure an access control policy condition to test whether the user is a patient.,Create an access group unique to patients.,,B,D,,,,,"To ensure that patients can read but not edit cases in the hospital's ER case management system, two steps need to be taken. First, configure an Access Role to Object rule with the open case action set to 1 (B), which grants read-only access. This ensures that patients can view their cases without the ability to make any modifications. Secondly, create an access group unique to patients (D). This access group would include the Access Role to Object rule configured in the previous step. By associating patients with this access group, it ensures that they are granted the appropriate level of access to their cases, fulfilling the security requirements specified by the stakeholders."
60,"A hospital uses a case type to manage the treatment of patients visiting the Emergency Room (ER). Cases are created when the patient checks in at the registration desk, and are resolved when the patient is released from the hospital. Stakeholders identify the following security requirements for the case type.\nPatients access cases on a read-only basis. Patients can only access their own cases.\n\nDoctors and nurses can modify cases throughout the case life cycle. Only doctors are allowed to write prescriptions.\nWhich configuration allows doctors and nurses to modify cases while complying with all identified security requirements?",multiple-choice,Create two access roles, one for doctors and one for nurses, and set the modify action for each to 5.,Create two access roles, one for doctors and one for nurses, and set the modify action for each to 1.,Create a single access role for both doctors and nurses, and set the modify action to 5.,Create a single access role for both doctors and nurses, and set the modify action to 1.,,C,,,,"To allow both doctors and nurses to modify cases while complying with the identified security requirements, the best approach is to create a single access role for both doctors and nurses\n(C) and set the modify action to 5. This configuration grants both user groups the necessary permissions to modify cases throughout the case life cycle. By using a single access role with a high level of access for modifications, the application simplifies role management while ensuring that both doctors and nurses can perform their duties effectively, without compromising the security and integrity of patient cases."
61,"What are three valid ways to exchange data through a Pega Web Mashup? (Choose Three)",multiple-choice,Use an action object configured as a script to perform additional actions on a web mashup gadget.,Use the Javascript function doAction() to set or read data values through the hosting web page.,Use an SQL call to exchange data between the mashup and hosting web page.,Use a queue processor to pass updated attributes to the gadget on the hosting web page.,Use the data-pega-event-onpagedata attribute to configure the default value for the gadget.,A,B,E,,,"In a Pega Web Mashup, valid ways to exchange data include using an action object configured as a script to perform additional actions on a web mashup gadget (A), utilizing the Javascript function doAction() to set or read data values through the hosting web page (B), and using the data-pega- event-onpagedata attribute to configure default values for the gadget (E). These methods facilitate dynamic interaction between the mashup and the hosting web page, allowing for seamless data exchange and integration of Pega functionalities into external web applications."
62,"Which two statements are valid about configuring Pega Web Mashup? (Choose Two)",multiple-choice,Only create one DIV element in the hosting web page for each Pega gadget.,Add a list of trusted domains in your applications in which you want to use the mashup.,Use the Integration wizard to generate mashup code for use in other systems.,Keep the original names of default actions in the mashup code to prevent security risks.,,A,B,,,,,"When configuring Pega Web Mashup, it's essential to create one DIV element in the hosting web page for each Pega gadget (A), ensuring that each gadget is properly isolated and rendered within its designated area on the web page. Additionally, adding a list of trusted domains in your application settings (B) is crucial for security, as it specifies which domains are authorized to host the mashup, preventing unauthorized use or embedding of the Pega functionalities in untrusted environments."
63,"Which three items are generated and displayed in the compliance score of an application? (Choose Three)",multiple-choice,Rules with unjustified warnings in the application,Unweighted compliance score out of 100,Total core rules used in the application,Rules with warnings in the application,Percentage of compliant rules in the application,A,D,E,,,"The compliance score of an application in Pega Platform includes items such as rules with unjustified warnings in the application (A), rules with warnings in the application (D), and the percentage of compliant rules in the application (E). These metrics provide insights into the application's adherence to best practices and guardrails, highlighting areas that may require attention to improve application quality, maintainability, and performance."
64,"What is the purpose of the Policy Verification landing page when configuring a security solution in Pega Platform?",multiple-choice,To test if a user has the required access to a case,To manually authenticate a specific user on an integrated external database,To test if a user's channel-specific password meets defined property requirements,To configure mapping of access control attributes,,,,A,,,,"The purpose of the Policy Verification landing page in Pega Platform is to test if a user has the required access to a case (A). This tool allows administrators and developers to verify access control policies by simulating how the policies would apply to different users, ensuring that the security configurations align with the application's requirements and that users have appropriate access levels to cases and data."
65,"In a hiring case type, only HR Managers should have read access to a candidate's reference letter attachment.\nWhich two tasks are used to fulfill this requirement? (Choose Two)",multiple-choice,Configure read access for a user according to a privilege,Restrict read access according to a When condition,Configure attribute-based access control on the Attachment Category,Define a separate Attachment Category for HR Managers,,B,C,,,,,"To ensure that only HR Managers have read access to a candidate's reference letter attachment, the tasks involved include restricting read access according to a When condition (B) and configuring attribute-based access control on the Attachment Category (C). The When condition can specify criteria that must be met for the attachment to be accessible, such as the user's role being an HR Manager. Attribute-based access control allows for the definition of access rules based on attributes of the data or user, providing a flexible and granular approach to securing sensitive attachments like reference letters."
66,"A requirement states that the Manager role cannot open a purchase request during the Audit stage. How do you configure the case stage to satisfy this requirement?",multiple-choice,Apply an Access Deny record.,Apply an Access When record.,Apply a When record.,Apply a Privilege record.,,B,,,,"To ensure that the Manager role cannot open a purchase request during the Audit stage, applying an Access When record (B) is the most suitable approach. An Access When record allows for the definition of conditional logic that determines whether a specific action, such as opening a case, is permitted based on the user's role and the current context of the case, such as its stage. By configuring this rule to evaluate to false for users with the Manager role during the Audit stage, you can effectively restrict their access to purchase requests in this stage, aligning with the requirement."
67,"Drag each security solution on the left to its appropriate use case.",matching,,,,,,,,,Access when,Access Control Policy,"Access Deny,Access of Role to Object","Access when-Dealers cannot modify orders in the Fulfillment stage.,Access Control Policy-Customers can only view their own credit report.,Access Deny-Dealers cannot run reports.,Access of Role to Object-Dealers can modify evaluations.","To match the security solutions to their appropriate use cases:\n""Access of Role to Object"" is typically used to specify what actions a particular role can perform on instances of a class. It would be appropriate for a use case where ""Dealers can modify evaluations"" since this is an action that a specific role (dealers) would be allowed to perform. ""Access Control Policy"" allows defining rules that enforce property and case access restrictions based on the user role and other conditions. It would be appropriate for a use case where ""Customers can only view their own credit report"" since this would be a restriction based on user-specific data. ""Access Deny"" is used to explicitly deny access to a rule or data instance. It fits the use case where ""Dealers cannot run reports"" because it is a restriction that prevents a specific action (running reports) for a specific role (dealers).\n""Access when"" is a rule that defines conditions for whether certain access is allowed. It would be used in the scenario where ""Dealers cannot modify orders in the Fulfillment stage"" since this is a conditional restriction based on the stage of the process.\n\nBased on these explanations, here is the matched list:\nAccess when -> Dealers cannot modify orders in the Fulfillment stage. Access Control Policy -> Customers can only view their own credit report.\nAccess Deny -> Dealers cannot run reports.\nAccess of Role to Object -> Dealers can modify evaluations."
68,"What two actions must you perform to create a class join in a report definition? (Choose Two)",multiple-choice,Select the type of match for key values.,Add an association rule to match key values.,Create a prefix for the joined class.,Add a parameter for each property in the class you want to join.,,A,C,,,,,"To create a class join in a report definition, you must select the type of match for key values (A) and create a prefix for the joined class (C). Selecting the type of match, such as Inner Join or Left Outer Join, determines how records from the primary class and the joined class are combined based on matching key values. Creating a prefix for the joined class helps in distinguishing properties from the joined class from those of the primary class, preventing naming conflicts and clarifying the report definition. These actions are fundamental steps in setting up class joins in report definitions to retrieve and display data from multiple related classes."
69,"You are analyzing application performance and identify a data transform exceeding preferred performance parameters.\nWhich performance tool do you use to help troubleshoot the issue?",multiple-choice,Performance Profiler,Database Trace,Performance Analyzer (PAL),Tracer,,,,C,,,,"When analyzing a data transform that is exceeding preferred performance parameters, the Performance Analyzer (PAL) (C) is the most suitable tool to use. PAL provides detailed metrics on various aspects of system performance, including CPU usage, database interactions, and rule execution times. By using PAL to analyze the performance of a data transform, you can identify specific areas where inefficiencies occur, such as excessive database reads or writes, loop iterations, or other resource-intensive operations. This insight allows for targeted optimizations to improve the performance of the data transform and the overall application."
70,"Which statement describes the appropriate use of the Purge/Archive wizard to address application performance?",multiple-choice,Delete any properties exposed in table columns from the BLOB.,Remove old cases to reduce the size of a database table.,Delete stored SQL procedures that have been updated.,Remove unused rules caches maintained on the system.,,B,,,,"The Purge/Archive wizard in Pega Platform is appropriately used to remove old cases to reduce the size of a database table (B). Over time, completed or resolved cases can accumulate in the system, leading to large table sizes that can negatively impact application performance. By archiving these cases, you can move them out of the primary database tables into an archive, and by purging, you can delete cases that are no longer needed. This process helps maintain optimal database performance and manage storage costs effectively."
71,"Graduate school students create and submit project proposals to their advisors. During the proposal phase, the advisor and the student can each edit the draft proposal. How do you ensure the advisor and the student can simultaneously edit the proposal, and the application can check the proposal for changes before committing them?",multiple-choice,Configure the locking on the case type to allow one user.,Configure the locking on the case type to allow multiple users.,Configure an assignment for the advisor and an assignment for the student.,Configure the student and advisor roles with view and edit permission.,,B,,,,"To ensure that the advisor and the student can simultaneously edit the draft proposal, configure the locking on the case type to allow multiple users (B). This setting enables a shared access model, where multiple users can work on the case at the same time. Additionally, Pega's conflict resolution mechanisms can be utilized to check for changes before committing them to the database, ensuring that any concurrent edits are properly managed and the integrity of the proposal is maintained."
72,"A flow action calls a pre-processing data transform to initiate values. There are several flow actions available for the assignment. You want to make sure that the values are only initiated once for each flow action.\nHow do you implement a solution?",multiple-choice,Add logic to the pre-processing data transform to test if values were already initiated.,Do nothing. The pre-processing data transform is only called once for each assignment.,Make sure that the flow action does not have the highest likelihood since it will always be invoked.,Configure the data transform as post-processing instead of pre-processing.,,A,,,,"To ensure that the values are only initiated once for each flow action, add logic to the pre- processing data transform to test if the values were already initiated (A). This logic can prevent the reinitialization of values that have already been set, allowing the pre-processing to only set default values when they are not present, avoiding any unwanted overwrites or duplications of effort."
73,"Items selected by a user need to be copied to a page list property when the user submits the form.\nHow do you copy the items?",multiple-choice,Add a data transform to the flow action as a post-processing action.,Add a data transform to the flow action as a pre-processing action.,Create a declare expression with the page list property as the target.,Create a validate rule to copy the selected items.,,A,,,,"To copy items selected by a user to a page list property when the user submits the form, add a data transform to the flow action as a post-processing action (A). Post-processing actions occur after the user submits the form, making it the right moment to transfer the selected items into the page list property for further processing or storage."
74,"If a customer reports an issue with their order, an Investigation case is created. All investigation cases are higher priority than other case types.\nWhat configuration supports this requirement?",multiple-choice,Create a service-level agreement (SLA) rule and ensure that the assignment is ready\nimmediately.,Create a service-level agreement (SLA) rule and increase the initial urgency.,Increase the initial urgency on the case type settings.,Configure an optional action to enable manual changes to case urgency.,,B,,,,"To support the requirement that all investigation cases are higher priority than other case types, create a service-level agreement (SLA) rule and increase the initial urgency (B). By setting a higher initial urgency on the SLA rule for Investigation cases, you ensure that these cases are prioritized over others from the moment they are created. This configuration directly influences the assignment urgency and worklist prioritization, aligning with the business requirement."
75,"An assignment service-level agreement (SLA) is configured with the following details: Initial urgency: 20\nAssignment ready: Timed delay of 2 hours Goal: 5 hours and increase urgency by 10 Deadline: 2 hours and increase urgency by 25\nPassed deadline: 1 hour, increase urgency by 5, and limit events to 6 The case reaches the assignment at 9 AM on Wednesday.\nAssuming no other urgency adjustments, what is the assignment urgency 6.5 hours after the case reaches the assignment?",multiple-choice,85,95,75,80,,,,B,,,,"The assignment urgency 6.5 hours after the case reaches the assignment with the given SLA configuration would be 95 (B). Here's the calculation: The initial urgency is 20. The case reaches the goal after 5 hours, adding 10 to the urgency, making it 30. Since the deadline is at 2 hours and has been exceeded by 4.5 hours, the urgency increases by 25, making it 55. Now, with the passed deadline events occurring every hour and increasing urgency by 5, after 1.5 hours, this would occur 1 additional time (since it's half an hour into the next hour), adding 5 to the urgency. Therefore, the total urgency after 6.5 hours is 20 (initial) + 10 (goal) + 25 (deadline)\n+ 5 (passed deadline event) =\n60. However, since the deadline urgency increase occurs at the 2-hour mark, the urgency would be 20 + 25 = 45 at 2 hours, and then after reaching the goal at 5 hours, additional 10 is added, making it 55, and then one passed deadline event adds 5 more, making the total 60. Since the deadline urgency is already accounted for at the 2-hour mark, it should not be added again after the goal. Therefore, the correct total urgency would be 20 (initial) + 10 (goal) + 25 (deadline) + 40 (8 passed deadline events) = 95."
76,"Which two statements about building mobile applications with Pega Platform are true? (Choose Two)",multiple-choice,A. Pega Platform allows the same certificate set to build and distribute iOS and Android applications.,B. Pega Mobile Build Server is configured in Dev Studio by using your Android or iOS developer certificates.,C. The containing application determines the layout and appearance of SDK applications.,D. Pega Mobile Build Server requires HTTPS access.,,B,D,,,,,"Building mobile applications with Pega Platform, it's true that the Pega Mobile Build Server is configured in Dev Studio using your Android or iOS developer certificates (B). This server is a cloud- based service provided by Pega to facilitate the mobile app build process. It's also true that the Pega Mobile Build Server requires HTTPS access (D) to ensure secure communication during the build process."
77,"In the Answer Area, drag each mobile application solution on the left to the correct scenario.",matching,,,,,,,SDK application,Signed application,Unsigned application,Metrobank wants to build a mobile app for distribution on Android and iOS app stores.,Localbank wants to build a mobile app for a Pega Platform application, but developer certificates cannot be distributed to app developers.,Globobank wants to build a mobile app of its Pega Platform application to embed in its mobile app.","SDK application-Globobank wants to build a mobile app of its Pega Platform application to embed in its mobile app.,Signed application-Metrobank wants to build a mobile app for distribution on Android and iOS app stores.,Unsigned application-Localbank wants to build a mobile app for a Pega Platform application, but developer certificates cannot be distributed to app developers.","For each scenario, the appropriate mobile application solution is as follows:\n""SDK application"" is suitable for Globobank's scenario because they want to build a mobile app of its Pega Platform application to embed in its mobile app. The SDK would allow them to integrate Pega's capabilities within their existing mobile application environment. ""Signed application"" is needed for Metrobank, which wants to distribute their mobile app on Android and iOS app stores. For an application to be accepted on these platforms, it must be properly signed with a developer certificate.\n""Unsigned application"" fits the scenario for Localbank, as they want to build a mobile app for a Pega Platform application but cannot distribute developer certificates to app developers. An unsigned application does not require these certificates, allowing development to proceed without them.\n\nBased on these explanations, here are the matched solutions:\nSDK application -> Globobank wants to build a mobile app of its Pega Platform application to embed in its mobile app.\nSigned application -> Metrobank wants to build a mobile app for distribution on Android and iOS app stores.\nUnsigned application -> Localbank wants to build a mobile app for a Pega Platform application, but developer certificates cannot be distributed to app developers."
78,"Which statement is true about connectors?",multiple-choice,A. Connectors use a listener that runs in the background.,B. Connectors establish a link to a service on another system.,C. Connectors require a REST service to function.,D. Connectors can be referenced from data transforms.,,B,,,,"Connectors establish a link to a service on another system (B). They are designed to communicate with external systems, such as sending a request to a web service or a REST service, and handle the response within a Pega application. This capability is part of Pega's\nintegration features and enables the application to interact with multiple systems across different platforms."
79,"As a best practice, in which situation do you use a keyed data page?",multiple-choice,A. A user selects an emoji from a short list that updates often.,B. A user selects a replacement part from a long list that seldom changes.,C. A user selects a delivery option from a short list that rarely changes.,D. A user selects an image from a long list that updates often.,,B,,,,"A keyed data page is best used when a user selects a replacement part from a long list that seldom changes (B). Keyed data pages are designed to efficiently manage large amounts of data that do not change frequently by loading data specific to a key (like a part ID). This improves performance by caching the data and reducing the need to frequently query the source system for the same data."
80,"What are the two most common ways to expose your application to an external system? (Choose Two)",multiple-choice,A. Create a connector linked to a data page.,B. Leverage the Pega API.,C. Configure a signed certificate.,D. Create a web service with the Service wizard.,,B,D,,,,,"The two most common ways to expose your application to an external system are to leverage the Pega API (B) and to create a web service with the Service wizard (D). The Pega API provides a set of out-of-the-box RESTful endpoints for performing operations within the Pega Platform. The Service wizard simplifies the creation of SOAP or REST services, enabling external systems to interact with Pega applications."
81,"You are asked to create a custom status named Open-Review. This status is to be applied to assignments in one application.\nHow do you satisfy the request?",multiple-choice,A. Create a Field Value record named Open-Review for .pyStatusWork with the Apply To class set to the class group.,B. Add the Open-Review status to the Application record for the application.,C. Circumstance the existing Open Field Value record on the application name and update the status value to Open-Review.,D. Create a Field Value record named Open-Review for .pyStatusWork and configure an Access When record to apply the status to the correct application.,,A,,,,"To create a custom status named Open-Review to be applied to assignments in one application, create a Field Value record named Open-Review for .pyStatusWork with the Apply To class set to the class group (A). This approach allows you to customize the status values used in your application and ensure that they are available for use in assignments within the specified class group, which typically corresponds to an application."
82,"You want to create a new minor version of an application ruleset to add a new feature to your application. The new feature will be made available to users in a phased rollout. How do you update the application to add the new ruleset version?",multiple-choice,A. Create a branch ruleset and a new application, and add the branch ruleset to the application.,B. Lock and roll the existing ruleset, and create a new application version.,C. Lock and roll the existing ruleset, and update the existing application version.,D. Create a new application version and add the new ruleset version as a production ruleset.,,C,,,,"To add a new minor version of an application ruleset for a phased rollout, you would lock the current version of the ruleset to prevent further changes (this is referred to as ""rolling"" the ruleset), and then create a new minor version. The application record should be updated to reference this new minor version of the ruleset. This ensures that the new features can be tested and gradually released to the user base without the need to create a completely new application version."
83,"In the following example, the Homelns, Homelnslnt, and Customer rulesets are configured for application validation. MyCo and MyCoInt are configured for ruleset validation. MyCo lists MyCoInt and Customer as its prerequisites, and the prerequisite for MyCoInt is Pega- ProcessCommander.\nWhich of the following statements is correct?",multiple-choice,A. Rules in MyCo can reference rules in Homelnslnt.,B. Rules in MyCo can reference rules in Homelns.,C. Rules in Customer can reference rules in Homelns.,D. Rules in MyCoInt can reference rules in Customer.,,B,,,,"In Pega's ruleset hierarchy, a ruleset can reference rules in its own ruleset as well as in any prerequisites (and their prerequisites, recursively). Since MyCo lists MyCoInt and Customer as its prerequisites and MyCoInt, in turn, lists Pega-ProcessCommander (which is not relevant here), MyCo can reference rules in both Homelns and HomelnsInt. However, since only Homelns is explicitly mentioned in the options, the correct answer is that MyCo can reference rules in Homelns."
84,"Teams X and Y work on different enhancements in the same ruleset. The release date for each enhancement is uncertain.\nWhich two options, when performed together, allow each team to keep its work separate? (Choose Two)",multiple-choice,A. Create a new ruleset version for one of the teams.,B. Create a branch ruleset for each team.,C. Apply privileges to the rules each team configures.,D. Create access groups for each of the teams.,,A,B,,,,,"When two teams work on different enhancements within the same ruleset and wish to keep their work separate, the best practice is to create a new ruleset version for one of the teams and to use branch rulesets for each team. This allows for parallel development without interference, and the teams can merge their work back into the main ruleset when they're ready."
85,"Organize the classes and associated rules in the appropriate Enterprise Class Structure (ECS) layer.",matching,,,,,,,,,Class 1,ECS Layer 1,"Class 1-ECS Layer 1,Class 2-ECS Layer 2,Class 3-ECS Layer 3","The original question was a drag and drop, and the specific classes, rules, and ECS layers were not provided in the text. Placeholders have been used for LeftItems and RightItems."
86,"The ruleset list for an application consists of the following rulesets, ordered from highest to lowest:\n\n\nA rule with an Apply to: class of TGB-HR-SelfService-Work-TimeOff references a rule named ConfirmationRequest. The four instances of ConfirmationRequest in the rules cache are shown in the following table.\n\n\nWhich is chosen during rule resolution?",multiple-choice,A. TGB-HR-SelfService-Work-TimeOff .ConfirmationRequest (SelfService:01-01-01),B. TGB .ConfirmationRequest (TGB:01-01-02),C. TGB-HR-SelfService-Work .ConfirmationRequest (SelfService:01-01-01),D. TGB-HR-5elfService-Work-TimeOff .ConfirmationRequest (SelfService:01-01-02),,A,,,,"Rule resolution in Pega follows the ""Rule Resolution"" algorithm, which will look for the rule that best matches the class hierarchy and the ruleset list. In this scenario, the rule that matches the\nApply to:\nclass of TGB-HR-SelfService-Work-TimeOff and is in the highest listed ruleset that is available (SelfService) will be selected."
87,"A global application with infrastructure nodes located throughout the world requires certain operations to start executing at midnight GMT.\nSelect two possible designs for this use case. (Choose Two)",multiple-choice,Use the Run in background step in the case life cycle and design a standard queue processor.,Use the Queue-For-Processing method in an activity and design a dedicated queue processor.,Use the Queue-For-Processing method in an activity and design a standard queue processor.,Use the Run in background step in the case life cycle and design a dedicated queue processor.,,B,C,,,,,"To start operations at a specific GMT time regardless of where the server is located, you would use the Queue-For-Processing method in an activity. This method adds a task to a queue to be processed either by a standard or a dedicated queue processor. A dedicated queue processor can be configured to operate on a schedule, so it can start processing at midnight GMT."
88,"Select the three Pega best practices for developing activities. (Choose Three)",multiple-choice,Keep activities short. Limit your activities to fewer than 15 steps.,Limit activity calls to at most three to prevent performance problems.,Limit custom Java steps whenever possible.,Use only activities to support queue processing and interfaces.,Limit the use of activities. Use alternative rule types such as data transforms whenever possible.,A,C,E,,,"Pega best practices recommend keeping activities short to enhance maintainability and readability. Custom Java steps should be limited to reduce complexity and potential errors. Activities should also be limited in general, with preference given to other rule types that are more declarative and less procedural, like data transforms, to improve application performance and maintainability."
89,"While running an application, a user notes that a system exception occurred. Which log do you review to identify the issue?",multiple-choice,Pega,Alert,AlertSecunty,BIX,,,,A,,,,"System exceptions and errors are typically logged in the Pega log. This log captures information about the functioning of the Pega platform and the applications running on it, including system errors and exceptions that users encounter."
90,"There are five instances of a rule in the rules cache. The only differences between these are the circumstance settings and ruleset version. The operator's access group has access to all ruleset versions.\nOn 1 June 2020, which instance is chosen by rule resolution if .Country = Algeria?",multiple-choice,SelfService:01-01-03 (Circumstance: None, Base Rule checked),SelfService:01-01-01 (Circumstance: .Country=Algeria),SelfService:01-01-02 (Circumstance: Start Date = 1 January 2020; End Date = 31 December 2020),SelfService:01-01-01 (No Circumstance),SelfService:01-01-05 (No Circumstance),B,,,,"On 1 June 2020, rule resolution would choose the instance of the rule that is circumstanced for Algeria, provided that the rule's availability is not blocked or withdrawn and the ruleset version is\naccessible by the operator's access group. The specific rule circumstanced for Algeria would take precedence over the base rule or other circumstanced rules that do not match the circumstance condition."
91,"A company with multiple applications spanning different business units wants to send a standard confirmation email to customers whenever a case is created.\nWhich is the appropriate layer of the Enterprise Class Structure (ECS) for the email correspondence?",multiple-choice,Unit,Organization,Implementation,Division,,,,B,,,,"In Pega's Enterprise Class Structure (ECS), standard functionalities that are shared across multiple applications within an organization, such as sending a confirmation email, should be placed at the Organization layer. This allows for reusability and standardization across various implementations within the organization."
92,"Which two statements describe the role of the cache manifest in a mobile app? (Choose two.)",multiple-choice,Allows downloading of rules for offline use with a mobile app.,Provides access to static resources such as HTML files, image files, or JS files.,Enables users to continue interacting with mobile apps while offline.,Supports debugging efforts by providing a run-time view of the rules accessed by the app.,,A,B,,,,,"The cache manifest in a mobile app facilitates the use of the app while offline by allowing the download of rules and static resources. This ensures that users can access the app's functionality and interface elements even when they do not have an internet connection."
93,"Which two design configurations limit the need for horizontal scrolling when an application is used on a mobile device? (Choose two.)",multiple-choice,Use grid layouts rather than repeating dynamic layouts to display tabular data.,Set the importance for columns in repeating dynamic layouts.,Limit text fields to a width of 200 pixels.,Set the width for layouts in percentages.,,B,D,,,,,"To prevent horizontal scrolling on mobile devices, setting the importance of columns allows for the most critical information to be shown first, potentially hiding less important columns on smaller screens. Using percentage widths for layouts ensures that the layout adapts to the screen width, which can also help prevent horizontal scrolling."
94,"You want to allow users to use an application on a mobile device, even if the device is not connected to a network.\n\nWhich configuration option supports this requirement?",multiple-choice,Simulate external data sources when the application is offline.,Source repeating layouts using report definitions.,Configure UI elements to use native controls on mobile devices.,Source drop-down lists using data pages.,,D,,,,"To support offline use of applications on mobile devices, you should source UI elements such as drop-down lists using data pages, which can be configured to be available offline. This allows the application to use locally cached data to populate the UI elements even when the device is not connected to a network."
95,"Offline support requires which two configurations? (Choose two.)",multiple-choice,Access groups set up to allow offline access to users.,Appropriate case types configured for offline processing.,An authorization activity to manage offline permissions.,A set of privileges to run sections in an offline environment.,,A,B,,,,,"For offline support, it's necessary to have the access groups configured to allow offline access to users so that the correct rules and data can be synchronized to the user's device. In addition, the case types must be configured to function properly in an offline environment, ensuring that\nusers can create, update, and submit cases without a network connection."
96,"Which two configurations can you use to include access groups into your Product rule? (Choose two.)",multiple-choice,Export the access groups using the Access Manager.,Add the access groups to the application record.,Add the access group to the Product record in the Individual instances to include section.,Associate the access groups with a ruleset included in the application.,,B,C,,,,,"To include access groups in your Product rule, you can add the access groups to the application record, which incorporates all the necessary rules for the application. Additionally, you can add the access group directly to the Product rule in the 'Individual instances to include' section, which allows you to specify individual rules and data instances that the Product rule should include."
97,"Your application contains the following versions of a service level named AuthorizeClaim.\n\n\nThe application is being updated with a new version of the AccountManage ruleset. As part of the update, the service level is no longer circumstanced for AccountOpen cases. The update must retain the circumstancing for the other case types in the application.\nWhich option do you use to reset the circumstancing for the AccountOpen case type?",multiple-choice,Copy the non-circumstanced rule to the AccountOpen class and select the base rule option.,Make the circumstanced rules in the AccountOpen class unavailable.,Withdraw the circumstanced rules in the AccountOpen class.,Block the circumstanced rules in the AccountOpen class.,,C,,,,"Withdrawing the circumstanced rules in the AccountOpen class is the correct action to stop using a circumstanced rule. This allows the non-circumstanced (or base) rule to be used instead without affecting other circumstanced versions of the rule for different case types."
98,"Which two statements are valid regarding Pega Web Mashups? (Choose two.)",multiple-choice,A mashup display starts by calling either a flow or a harness from a Pega application.,Pega Platform limits a mashup to working on existing cases.,A mashup can allow access to Dev Studio for full system configuration.,A user can view their worklist in an external portal and select items to take action on.,,A,D,,,,,"Pega Web Mashups enable the embedding of Pega applications within external web pages. A mashup is initialized by calling a flow or a harness from a Pega application, allowing users to interact with Pega case management from other applications or portals. Users can also view their worklist in the external portal and select items to take action on, extending the capabilities of Pega applications to external platforms."
99,"A form must support accessibility.\nHow do you enable a user to specify a date?",multiple-choice,Configure a text box to allow date entry.,Use a calendar control that displays an entire year.,Use a calendar control that displays an entire month.,Provide separate controls for month, day, and year.,,C,,,,"To support accessibility, it's recommended to use a calendar control that displays an entire month. This allows users who rely on screen readers or keyboard navigation to select a date without the need for precise mouse control or having to manually input the date, which can be error-prone."
